x,2015-2019,2020
6.591,13.6646,13.8658
6.681,13.6704,13.946
7.83,13.7515,14.2201
8.634,13.8308,14.2422
10.467,14.0422,14.2456
11.174,14.0687,14.2635
12.502,14.0919,14.5096
12.993,14.1066,14.5391
15.68,14.2381,14.5864
15.979,14.2433,14.5913
18.703,14.2644,14.6556
22.028,14.2759,14.6167
23.677,14.2973,14.5813
26.083,14.4125,14.527
27.31,14.4954,14.5232
31.804,14.6495,14.5506
33.149,14.6129,14.5455
35.399,14.482,14.3908
37.43,14.3388,14.3201
38.729,14.3078,14.3585
40.375,14.384,14.5238
42.059,14.4332,14.7255
45,14.4043,14.8092
46.038,14.3491,14.7749
47.379,14.2331,14.6867
51.315,13.7837,14.3934
51.524,13.7676,14.3795
54.127,13.7658,14.2355
55.653,13.8368,14.1383
56.852,13.8662,14.026
60.408,13.8504,13.7847
60.607,13.8443,13.7875
62.463,13.7314,13.8686
65.381,13.7226,14.0617
66.064,13.7385,14.0965
68.616,13.7866,13.9611
70.008,13.7719,13.8607
71.298,13.6955,13.7935
73.677,13.5052,13.6582
73.725,13.5029,13.6562
77.051,13.4177,13.4487
79.476,13.3207,13.1595
82.415,13.1218,12.7302
85.573,12.8727,12.205
87.214,12.7523,12.0726
88.211,12.6949,11.9762
90.764,12.6094,11.5509
93.734,12.5084,11.37
95.435,12.4377,11.3414
98.506,12.3005,11.3896
102.01,12.1386,11.0319
105.6,11.9738,10.7065
107.765,11.8793,10.7715
108.8,11.8372,10.7933
111.785,11.7391,10.6869
112.477,11.7236,10.835
113.94,11.6951,10.7579
117.624,11.5573,10.4387
118.397,11.5204,10.3458
121.042,11.3901,10.0158
122.763,11.3215,9.9354
125.663,11.2735,9.9378
126.124,11.2682,9.9538
128.771,11.2318,10.0815
129.881,11.2345,10.1
134.195,11.2571,9.9251
134.623,11.258,9.9033
138.305,11.244,9.7894
141.083,11.2079,9.7019
143.446,11.1646,9.6502
147.083,11.0877,9.7232
148.614,11.0541,9.8812
149.214,11.0412,9.9271
151.618,11.0016,10.0246
153.076,11.0084,9.9733
154.76,11.0359,9.9502
157.126,11.0696,9.9896
159.728,11.0123,10.0585
162.097,10.9243,10.1275
164.027,10.8776,10.1816
166.655,10.8407,10.2774
169.338,10.7742,10.3784
170.091,10.7089,10.3523
170.687,10.5297,10.3147
172.037,10.3902,10.2011
174.857,10.2629,9.9714
176.122,10.2622,9.966
177.278,10.2938,10.0999
178.408,10.3432,10.3133
181.116,10.4742,10.5415
181.926,10.4781,10.5139
183.797,10.4139,10.3432
188.148,10.4424,9.8155
189.383,10.4294,9.7082
193.148,10.2636,9.5628
194.759,10.2482,9.5216
197.042,10.2703,9.5197
200.534,10.3458,9.7982
202.613,10.4048,10.0443
203.883,10.4451,10.2165
206.331,10.5325,10.2889
207.019,10.5599,10.2977
209.375,10.6646,10.3466
213.136,10.8157,10.5067
213.771,10.8263,10.5128
218.521,10.8536,10.3911
219.512,10.8698,10.3942
225.579,11.0726,10.5375
225.838,11.0781,10.5438
230.006,11.0284,10.6357
231.59,11.0325,10.6919
234.748,11.0805,10.8915
235.652,11.0986,10.8926
238.862,11.1892,10.7917
239.895,11.2353,10.7334
243.185,11.3174,10.5171
244.397,11.3119,10.499
248.332,11.2466,10.6751
250.275,11.3094,10.7878
251.014,11.3395,10.8249
255.897,11.436,11.013
256.996,11.4437,11.0611
259.528,11.4169,11.1756
260.592,11.4056,11.2069
264.316,11.4324,11.3132
266.461,11.4583,11.4005
270.964,11.5242,11.5977
272.728,11.5766,11.6658
276.774,11.7711,11.8034
277.338,11.7766,11.8215
280.433,11.7638,11.9852
282.911,11.7528,12.1681
285.608,11.8693,12.1871
285.994,11.8904,12.1683
290.256,12.0017,11.7433
291.422,12.009,11.6273
292.805,12.023,11.5865
294.442,12.0778,11.7653
296.327,12.1788,12.0394
297.402,12.2631,12.203
298.97,12.4139,12.4528
301.106,12.5477,12.7141
301.213,12.5535,12.7224
305.158,12.7594,12.8006
305.765,12.7869,12.8156
309.396,12.9011,13.008
310.979,12.9351,13.1049
313.201,12.981,13.1777
316.143,13.0443,12.9697
319.394,13.1253,12.8158
320.411,13.1561,12.822
323.033,13.2506,13.1442
324.44,13.3001,13.2927
325.745,13.3271,13.41
327.58,13.3716,13.5225
327.8,13.3801,13.5122
330.928,13.5488,13.218
332.203,13.6289,12.9931
332.709,13.6607,12.9491
335.928,13.7612,12.8378
337.12,13.7516,12.833
339.579,13.7221,12.9927
341.621,13.7233,13.1739
341.982,13.7295,13.2089
345.223,13.892,13.491
345.507,13.9129,13.5024
347.314,13.9961,13.5339
349.033,14.0522,13.5467
350.955,14.0838,13.6338
351.766,14.0773,13.6948
354.233,13.9934,13.8793
355.214,13.9539,13.9519
356.296,13.8587,14.0318
357.989,13.5087,14.1579
361.842,13.2319,13.9931
