,2020,2015-2019,change,smoothed change
2020-01-07,14.022099129677981,13.692916013925153,-0.024040395443750695,-0.025608484265373946
2020-01-08,14.22477288557214,13.768267412935323,-0.03315634850380156,-0.024948279028078463
2020-01-09,14.242878887070377,13.873010801963993,-0.026660981555209462,-0.02428805378105777
2020-01-10,14.244733769776323,13.988340861974905,-0.01832904347493991,-0.02362837532669582
2020-01-11,14.259094625176804,14.062178076379066,-0.014003275148997574,-0.022970017162191374
2020-01-12,14.41657123493976,14.083130120481927,-0.023676633788456414,-0.022313289552725924
2020-01-13,14.539223222925195,14.106942575362858,-0.03064311386063867,-0.02165783931454157
2020-01-14,14.556826497953107,14.15588191291403,-0.028323532755193837,-0.02100340447149244
2020-01-15,14.57442977298102,14.204821250465203,-0.026019934781207565,-0.020350466864659453
2020-01-16,14.591795704845815,14.243462665198237,-0.024455643113993508,-0.019700240662616213
2020-01-17,14.615400697503672,14.25120862701909,-0.025555170794012927,-0.019054519315237828
2020-01-18,14.639005690161527,14.258954588839941,-0.02665350387040588,-0.018415616186544127
2020-01-19,14.65212532330827,14.265427218045113,-0.027107362391082246,-0.017786494637155432
2020-01-20,14.64042607518797,14.268885864661653,-0.026038487801382848,-0.017170930993488126
2020-01-21,14.62872682706767,14.272344511278195,-0.024970131256841333,-0.016573608154540943
2020-01-22,14.617027578947368,14.275803157894737,-0.023902292380932,-0.016000095568269132
2020-01-23,14.595833535476046,14.288514190418436,-0.02150813870232171,-0.015456802030662922
2020-01-24,14.574010349127184,14.312765336658353,-0.018252588254187296,-0.01495090402526514
2020-01-25,14.551441770573566,14.360645635910224,-0.013286041554165129,-0.014490168248435768
2020-01-26,14.528873192019951,14.408525935162094,-0.008352503052665883,-0.014082662325741832
2020-01-27,14.524160065199673,14.4744554197229,-0.0034339561686753672,-0.013736333120977816
2020-01-28,14.527406942590119,14.519060213618157,-0.0005748808014538476,-0.013458553654874693
2020-01-29,14.53350396083667,14.553350378282154,0.0013637009300002667,-0.01325569979278221
2020-01-30,14.539600979083222,14.58764054294615,0.0032931688796074,-0.013132872998125683
2020-01-31,14.545697997329773,14.621930707610147,0.005213587166070899,-0.013093711466042341
2020-02-01,14.549856802973977,14.644166468401487,0.006440084222683939,-0.013140209379487615
2020-02-02,14.54606498141264,14.616954572490705,0.0048498194837028885,-0.013272540147171615
2020-02-03,14.486989022222224,14.563390711111111,0.005246147027463732,-0.013488964472658543
2020-02-04,14.418233466666667,14.505212933333334,0.005996428116321284,-0.01378589612742408
2020-02-05,14.369878926637124,14.439625209256524,0.004830200341674362,-0.014157867942684955
2020-02-06,14.335068488429345,14.369118069916299,0.002369636140595266,-0.01459746501360636
2020-02-07,14.33694988452656,14.325197228637414,-0.000820418434843706,-0.015095393885854505
2020-02-08,14.3857152490887,14.32034568651276,-0.0045648033928054055,-0.01564067541238865
2020-02-09,14.486140522478737,14.366639732685298,-0.008317935997348425,-0.016220911256332047
2020-02-10,14.598658966745843,14.402260095011876,-0.013636670247469507,-0.016822594946014756
2020-02-11,14.718433313539194,14.431476247030878,-0.019884110370715247,-0.017431455371673767
2020-02-12,14.752280584835091,14.42395317919075,-0.02276265054146287,-0.01803291815956875
2020-02-13,14.780740292417546,14.414126589595375,-0.025434333502163398,-0.018612598195347
2020-02-14,14.8092,14.4043,-0.028109661698243027,-0.019156580300312802
2020-02-15,14.776155684007708,14.351120809248554,-0.029616841806894945,-0.019651632193310516
2020-02-16,14.711627516778524,14.265884489187174,-0.031245383202787025,-0.020085398335367537
2020-02-17,14.640424771341463,14.16219618902439,-0.03376796761844725,-0.02044652285255611
2020-02-18,14.565907494918699,14.048019359756097,-0.03686556246115491,-0.020724782094067862
2020-02-19,14.491390218495935,13.933842530487805,-0.04001392198800824,-0.020911295652491113
2020-02-20,14.416872942073171,13.819665701219511,-0.04321430443870722,-0.020998799735283763
2020-02-21,14.353167306953514,13.767270841336918,-0.04255719760066112,-0.02098194352104434
2020-02-22,14.297846523242413,13.76657933154053,-0.038591081989750364,-0.02085753540261015
2020-02-23,14.24252573953131,13.765887821744142,-0.03462456791448543,-0.020624488151050044
2020-02-24,14.179893446920051,13.806417955439057,-0.02705086088849451,-0.020283489873636953
2020-02-25,14.105799499582986,13.845308590492076,-0.018814380870484593,-0.019836570499104537
2020-02-26,14.015957142857143,13.865542407199099,-0.01084809603841741,-0.019286427479173165
2020-02-27,13.9481,13.861099212598425,-0.006276615300646604,-0.01863566226064977
2020-02-28,13.880242857142857,13.85665601799775,-0.0017022028341089346,-0.017886090635733445
2020-02-29,13.812385714285716,13.852212823397076,0.002875144182313605,-0.017038293966398034
2020-03-01,13.804672575431034,13.820393911637932,0.0011375461732432424,-0.01609123665231475
2020-03-02,13.84836869612069,13.75956417025862,-0.006454021709061175,-0.01504199846430515
2020-03-03,13.904136223440714,13.729780534612749,-0.012699087825068567,-0.013886035401711494
2020-03-04,13.970311686086362,13.726764770390679,-0.017742484829420757,-0.012617923915293731
2020-03-05,14.036487148732009,13.723749006168608,-0.02278809838498419,-0.011232103588693563
2020-03-06,14.093239092240118,13.73701010248902,-0.025932061423362684,-0.009723528511849041
2020-03-07,14.046839184952978,13.756141692789969,-0.02113219670566302,-0.008088278838522351
2020-03-08,13.99378275862069,13.774989655172414,-0.015883358820971694,-0.006323925438952299
2020-03-09,13.933403448275861,13.782544827586207,-0.01094562887890671,-0.00442933837392495
2020-03-10,13.861277011494252,13.77198448275862,-0.006483635589875858,-0.002404351099599145
2020-03-11,13.809023720930233,13.713148992248062,-0.0069914451258692445,-0.000249458869643962
2020-03-12,13.753575409836065,13.639345901639343,-0.00837499899338967,0.002034350089394602
2020-03-13,13.696702774274906,13.559354308532997,-0.010129425237857648,0.0044453965388941315
2020-03-14,13.639043505712568,13.49585550210463,-0.010609775985346515,0.006980951898557075
2020-03-15,13.576656253758268,13.470239146121468,-0.0079001646876804,0.009636849121505031
2020-03-16,13.514269001803969,13.444622790138304,-0.005180228017758193,0.012407213077600732
2020-03-17,13.45188174984967,13.419006434155142,-0.0024499068433898596,0.0152844130240735
2020-03-18,13.335524412371134,13.37974,0.003304667178051779,0.01825905769046645
2020-03-19,13.216266680412371,13.33974,0.009256051436357104,0.0213200309819893
2020-03-20,13.082959271861178,13.285237733923104,0.015225806727223179,0.02445472305678491
2020-03-21,12.936889179993194,13.217561653623681,0.021234814785489498,0.027649316631836146
2020-03-22,12.790819088125213,13.14988557332426,0.027305673741180425,0.030889071096014197
